Orden,en,es,fr,kind,note
1, We place the valencies in Roman numerals \n on each item.,Colocamos las valencias en números romanos \n sobre cada reactivo para tenerlas de referencia., Nous plaçons les valences en chiffres romains \n sur chaque élément.,default,default option
2,Oxygen always has a subscript 2 in reagents for being a gas.,El Oxígeno siempre lleva un subíndice 2 en reactivos por ser un gas., L'oxygène a toujours un indice 2 dans les réactifs pour être un gaz.,default,default option
3, To the left of the reaction date we locate \n the 'Reagents' and to the right we locate the 'Products'. \n In this case the product is an 'Oxide'.,A la izquierda de la fecha de reacción ubicamos \n los 'Reactivos' y a la derecha ubicamos los 'Productos'. \n En este case el producto es un 'Óxido'.," À gauche de la date de réaction, nous localisons \n les ‘Réactifs’ et à droite nous localisons les ‘Produits’. \n Dans ce cas, le produit est un ‘Oxyde’.",default,default option
4,In Products ... \n The subscript of the element MY_NAME will be 2. \n The subscript of the Oxygen will be MY_VALENCIA.,Las valencias fueron detalladas en números romanos. \n En Productos el subíndice del elemento MY_NAME será 2 y \n el subíndice del Oxígeno será MY_VALENCIA.,En Productos... \n El subíndice del elemento MY_NAME  será 2. \n El subíndice del Oxígeno será MY_VALENCIA.,default,default option
5," In this case, it was not necessary to simplify the subscripts.","En este case, no fue necesario simplificar los subindices.","Dans ce cas, il n'était pas nécessaire de simplifier les indices.",default,default option
6,"The new Oxide coefficient will be 1, and the Oxygen coefficient in reagents will be 1. \n Now the Oxygen is already balanced in the equation. \n Check it out!","El nuevo coeficiente del Óxido será 1, y el coeficiente del Óxigeno en reactivos será 1. \n Ahora el Oxígeno ya se encuentra balanceado en la ecuación. \n Verifícalo!",Le nouveau coefficient d'Oxyde sera 1 et le coefficient d'Oxygène dans les réactifs sera 1. \n L'oxygène est maintenant déjà équilibré dans l'équation. \n Vérifiez-le!,default,default option
7,The MY_NAME element is already balanced in the equation. \n Check it out!,El elemento MY_NAME ya se encuentra balanceado en la ecuación. \n Verifícalo!,L'élément MY_NAME est déjà équilibré dans l'équation. \n Vérifiez-le!,default,default option
8,"In this case, simplifying the coefficients was not necessary.","En este case, simplificar los coeficientes no fue necesario.","Dans ce cas, la simplification des coefficients n'était pas nécessaire.",default,default option
9,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR
10,"In this case, simplifying the subscripts is not possible.
","En este case, simplificar los subíndices no es posible.","Dans ce cas, la simplification des indices n'est pas possible. ",case1.1.1,detalles en reaccion
11,The subscripts were simplified by MY_COEF3_PASO5.,Los subíndices se simplificaron por MY_COEF3_PASO5.,Les indices ont été simplifiés par MY_COEF3_PASO5. ,case1.1.2,detalles en reaccion
12,"The new Oxide coefficient will be MY_COEF3_PASO6, and the Oxygen coefficient in reagents will be MY_COEF2_PASO6. \n Oxygen is now balanced in the equation. \n Check it out!","El nuevo coeficiente del Óxido será MY_COEF3_PASO6, y el coeficiente del Óxigeno en reactivos será MY_COEF2_PASO6. \n Ahora el Oxígeno ya se encuentra balanceado en la ecuación. \n Verifícalo!",Le nouveau coefficient d'oxyde sera MY_COEF3_PASO6 et le coefficient d'oxygène dans les réactifs sera MY_COEF2_PASO6. \n L'oxygène est maintenant équilibré dans l'équation. \ n Vérifiez-le!,case1.2.1,detalles en reaccion
13,El nuevo coeficiente del elemento MY_NAME en reactivos es MY_COEF1_PASO7. \n Ahora el elemento MY_NAME se encuentra balanceado en la ecuación. \n Verifícalo!,El nuevo coeficiente del elemento MY_NAME en reactivos es MY_COEF1_PASO7. \n Ahora el elemento MY_NAME se encuentra balanceado en la ecuación. \n Verifícalo!,El nuevo coeficiente del elemento MY_NAME en reactivos es MY_COEF1_PASO7. \n Ahora el elemento MY_NAME se encuentra balanceado en la ecuación. \n Verifícalo!,case1.3.1,detalles en reaccion
14, It is not possible to simplify the three coefficients of the equation.,No es posible simplificar los tres coeficientes de la ecuación.,Il n'est pas possible de simplifier les trois coefficients de l'équation.,case1.4.1,detalles en reaccion
15,The three coefficients were simplified by MY_MCD_PASO8. ,Los tres coeficientes se simplificaron por MY_MCD_PASO8.,Les trois coefficients ont été simplifiés par MY_MCD_PASO8.,case1.4.2,detalles en reaccion
16,The MY_NAME element is also a gas and must therefore \n have a subscript 2 in reactants.,El elemento MY_NAME es también un gas y debe \n llevar entonces un subíndice 2 en reactivos.,L'élément MY_NAME est également un gaz et doit donc \n avoir un indice 2 dans les réactifs.,case1.5.1,detalles en reaccion
17,"In this case, an oxide is not formed. \n In ‘products’ we will only find Oxygen. ",En este case no se forma un Óxido. \n En ‘productos’ solo encontraremos al Oxígeno.,"Dans ce cas, il ne se forme pas d'oxyde. \n Dans ""produits"", nous ne trouverons que de l'oxygène.",case2.1.1,oxygen
18,"In this case, in products there is only Oxygen. \n This element is a gas, therefore \n we must place a subscript 2 on it. ","En este case, en productos hay solo Oxígeno.\n Este elemento es un gas, por lo tanto\n debemos colocarle un subíndice 2.","Dans ce cas, les produits contiennent uniquement de l'oxygène. \n Cet élément est un gaz, \n nous devons donc y placer un indice 2.",case2.2.1,oxygen
19,"In this case, we directly balance the amount of Oxygen \n adding a 2 as a coefficient in products. ","En este case, balanceamos directamente la cantidad de Oxígeno\n agregando un 2 como coeficiente en productos.","Dans ce cas, nous équilibrons directement la quantité d'oxygène \n en ajoutant un 2 comme coefficient dans les produits. ",case2.3.1,oxygen
20,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR
21,The MY_NAME element presents zero valence as it is a noble gas.,El elemento MY_NAME presenta valencia cero por ser un noble gas.,L'élément MY_NAME présente une valence nulle car il s'agit d'un gaz rare.,case3.1.1,noble gas
22,Noble gases do not have a subscript two.,Los gases nobles no llevan subíndice dos.,Les gaz nobles n'ont pas d'indice deux.,case3.2.1,noble gas
23,Noble gases do not react with Oxygen. \n No oxide formation. \n Reagents remain separate.,Los gases nobles no reaccionan con Oxígeno. \n No hay formación de óxido.\n Los reactivos permanecen separados.,Les gaz nobles ne réagissent pas avec l'oxygène. \n Aucune formation d'oxyde. \n Les réactifs restent séparés.,case3.3.1,noble gas
24,No chemical reaction occurs therefore there is no \n exchange of valences in the product.,No ocurre reacción química por lo tanto no hay intercambio \n de valencias en el producto.,Aucune réaction chimique ne se produit donc il n'y a pas \n d'échange de valences dans le produit.,case3.4.1,noble gas
25,No oxide formed and the chemical equation \n is already balanced.,No se formo un óxido y la ecuación química \n ya está balanceada.,Aucun oxyde ne s'est formé et l'équation chimique \n est déjà équilibrée. ,case3.5.1,noble gas
26,No oxide formed and the chemical equation \n is already balanced.,No se formo un óxido y la ecuación química \n ya está balanceada.,Aucun oxyde ne s'est formé et l'équation chimique \n est déjà équilibrée. ,case3.6.1,noble gas
27,No oxide formed and the chemical equation \n is already balanced.,No se formo un óxido y la ecuación química \n ya está balanceada.,Aucun oxyde ne s'est formé et l'équation chimique \n est déjà équilibrée. ,case3.7.1,noble gas
28,No oxide formed and the chemical equation \n is already balanced.,No se formo un óxido y la ecuación química \n ya está balanceada.,Aucun oxyde ne s'est formé et l'équation chimique \n est déjà équilibrée. ,case3.8.1,noble gas
