Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
1,H,Hidrógeno,Non-metal,1,1,No corresponde,,,,,No corresponde
2,He,Helio,Noble gas,0,1,No corresponde,,,,,No corresponde
3,Li,Litio,Metal,1,1,de Litio,,,,,de Litio
4,Be,Berilio,Metal,2,1,de Berilio,,,,,de Berilio
5,B,Boro,Metalloid,3,1,de Boro,,,,,de Boro
6,C,Carbón,Non-metal,2;4,2,No corresponde,No corresponde,,,,No corresponde
7,N,Nitrógeno,Non-metal,2;3;4;5,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
8,O,Oxígeno,Non-metal,2,1,No corresponde,,,,,No corresponde
9,F,Flúor,Non-metal,1,1,Fluoruro,,,,,Fluoruro
10,Ne,Neón,Noble gas,0,1,No corresponde,,,,,No corresponde
11,Na,Sodio,Metal,1,1,de Sodio,,,,,de Sodio
12,Mg,Magnesio,Metal,2,1,de Magnesio,,,,,de Magnesio
13,Al,Aluminio,Metal,3,1,de Aluminio,,,,,de Aluminio
14,Si,Silicio,Metalloid,4,1,de Silicio,,,,,de Silicio
15,P,Fósforo,Non-metal,3;4;5,3,No corresponde,No corresponde,No corresponde,,,No corresponde
16,S,Azufre,Non-metal,2;4;6,3,Sulfuro,Sulfuro,Sulfuro,,,Sulfuro
17,Cl,Cloro,Non-metal,1;3;5;7,4,Cloruro,Cloruro,Cloruro,Cloruro,,Cloruro
18,Ar,Argón,Noble gas,0,1,No corresponde,,,,,No corresponde
19,K,Potasio,Metal,1,1,de Potasio,,,,,de Potasio
20,Ca,Calcio,Metal,2,1,de Calcio,,,,,de Calcio
21,Sc,Escandio,Metal,3,1,de Escandio,,,,,de Escandio
22,Ti,Titanio,Metal,3;4,2,Titanoso,Titánico,,,,de Titanio
23,V,Vanadio,Metal,2;3;4;5,4,HipoVanadioso,Vanadioso,Vanádico,PerVanádico,,de Vanadio
24,Cr,Cromo,Metal,2;3;6,3,HipoCromoso,Cromoso,Crómico,,,de Cromo
25,Mn,Manganeso,Metal,2;3;4;6;7,5,HipoManganoso,Manganoso,Mangánico,PerMangánico,SuperMangánico,de Manganeso
26,Fe,Hierro,Metal,2;3,2,Ferroso,Férrico,,,,de Hierro
27,Co,Cobalto,Metal,2;3,2,Cobaltoso,Cobáltico,,,,de Cobalto
28,Ni,Níquel,Metal,2;3,2,Niqueloso,Niquélico,,,,de Níquel
29,Cu,Cobre,Metal,1;2,2,Cuproso,Cúprico,,,,de Cobre
30,Zn,Zinc,Metal,2,1,de Zinc,,,,,de Zinc
31,Ga,Galio,Metal,3,1,de Galio,,,,,de Galio
32,Ge,Germanio,Metalloid,4,1,de Germanio,,,,,de Germanio
33,As,Arsénico,Metalloid,3;5,2,Arsenioso,Arsenicico,,,,de Arsénico
34,Se,Selenio,Non-metal,4;6,2,Seleniuro,Seleniuro,,,,Seleniuro
35,Br,Bromo,Non-metal,1;5,2,Bromuro,Bromuro,,,,Bromuro
36,Kr,Criptón,Noble gas,0,1,No corresponde,,,,,No corresponde
37,Rb,Rubidio,Metal,1,1,de Rubidio,,,,,de Rubidio
38,Sr,Estroncio,Metal,2,1,de Estroncio,,,,,de Estroncio
39,Y,Yodo,Metal,3,1,de Yodo,,,,,de Yodo
40,Zr,Circonio,Metal,4,1,de Circonio,,,,,de Circonio
41,Nb,Niobio,Metal,3;5,2,Niobioso,Nióbico,,,,de Niobio
42,Mo,Molibdeno,Metal,2;3;4;5;6,5,HipoMolibdenoso,Molibdenoso,Molibdénico,PerMolibdénico,SuperMolibdénico,de Molibdeno
43,Tc,Tecnecio,Metal,7,1,de Tecnecio,,,,,de Tecnecio
44,Ru,Rutenio,Metal,2;3;4;6;8,5,HipoRutenioso,Rutenioso,Ruténico,PerRuténico,SuperRuténico,de Rutenio
45,Rh,Rodio,Metal,2;3;4,3,HipoRodioso,Rodioso,Ródico,,,de Rodio
46,Pd,Paladio,Metal,2;4,2,Paladoso,Paládico,,,,de Paladio
47,Ag,Plata,Metal,1,1,de Plata,,,,,de Plata
48,Cd,Cadmio,Metal,2,1,de Cadmio,,,,,de Cadmio
49,In,Indio,Metal,3,1,de Indio,,,,,de Indio
50,Sn,Estaño,Metal,2;4,2,Estañoso,Estánico,,,,de Estaño
51,Sb,Antimonio,Metalloid,3;5,2,Antimonioso,Antimónico,,,,de Antimonio
52,Te,Telurio,Metalloid,2;4;6,3,Teluluro,Teluluro,Teluluro,,,Teluluro
53,I,Yodo,Non-metal,1;5;7,3,Yoduro,Yoduro,Yoduro,,,Yoduro
54,Xe,Xenón,Noble gas,0,1,No corresponde,,,,,No corresponde
55,Cs,Cesio,Metal,1,1,de Cesio,,,,,de Cesio
56,Ba,Bario,Metal,2,1,de Bario,,,,,de Bario
57,La,Lantano,Metal,3,1,de Lantano,,,,,de Lantano
58,Ce,Cerio,Metal,3;4,2,Cerioso,Cérico,,,,de Cerio
59,Pr,Praseodimio,Metal,3;4,2,Praseodimioso,Praseodímico,,,,de Praseodimio
60,Nd,Neodimio,Metal,3,1,de Neodimio,,,,,de Neodimio
61,Pm,Prometio,Metal,3,1,de Prometio,,,,,de Prometio
62,Sm,Samario,Metal,2;3,2,Samarioso,Samárico,,,,de Samario
63,Eu,Europio,Metal,2;3,2,Europioso,Európico,,,,de Europio
64,Gd,Gadolinio,Metal,3,1,de Gadolinio,,,,,de Gadolinio
65,Tb,Terbio,Metal,3;4,2,Terbioso,Térbico,,,,de Terbio
66,Dy,Disprosio,Metal,3,1,de Disprosio,,,,,de Disprosio
67,Ho,Holmio,Metal,3,1,de Holmio,,,,,de Holmio
68,Er,Erbio,Metal,3,1,de Erbio,,,,,de Erbio
69,Tm,Tulio,Metal,2;3,2,Tulioso,Túlico,,,,de Tulio
70,Yb,Iterbio,Metal,2;3,2,Iterbioso,Itérbico,,,,de Iterbio
71,Lu,Lutecio,Metal,3,1,de Lutecio,,,,,de Lutecio
72,Hf,Hafnio,Metal,4,1,de Hafnio,,,,,de Hafnio
73,Ta,Tantalio,Metal,5,1,de Tantalio,,,,,de Tantalio
74,W,Tungsteno,Metal,2;3;4;5;6,5,HipoTungstenoso,Tungstenoso,Tungsténico,PerTungsténico,SuperTungsténico,de Tungsteno
75,Re,Renio,Metal,1;2;4;6;7,5,HipoRenioso,Renioso,Rénico,PerRénico,SuperRénico,de Renio
76,Os,Osmio,Metal,2;3;4;6;8,5,HipoOsmioso,Osmioso,Ósmico,PerÓsmico,SuperÓsmico,de Osmio
77,Ir,Iridio,Metal,2;3;4;6,4,HipoIridioso,Iridioso,Irídico,PerIrídico,,de Iridio
78,Pt,Platino,Metal,2;4,2,Platinoso,Platínico,,,,de Platino
79,Au,Oro,Metal,1;3,2,Auroso,Áurico,,,,de Oro
80,Hg,Mercurio,Metal,1;2,2,Mercurioso,Mercúrico,,,,de Mercurio
81,Tl,Talio,Metal,1;3,2,Talioso,Tálico,,,,de Talio
82,Pb,Plomo,Metal,2;4,2,Plubioso,Plúmbico,,,,de Plomo
83,Bi,Bismuto,Metal,3;5,2,Bismutoso,Bismútico,,,,de Bismuto
84,Po,Polonio,Metalloid,2;4,2,Polonioso,Polónico,,,,de Polonio
85,At,Astato,Non-metal,1;3;5;7,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
86,Rn,Radón,Noble gas,0,1,No corresponde,,,,,No corresponde
87,Fr,Francio,Metal,1,1,de Francio,,,,,de Francio
88,Ra,Radio,Metal,2,1,de Radio,,,,,de Radio
89,Ac,Actinio,Metal,3,1,de Actinio,,,,,de Actinio
90,Th,Torio,Metal,4,1,de Torio,,,,,de Torio
91,Pa,Protactinio,Metal,4;5,2,Protactinioso,Protactínico,,,,de Protactinio
92,U,Uranio,Metal,3;4;5;6,4,HipoUranoso,Uranoso,Uránico,PerUránico,,de Uranio
93,Np,Neptunio,Metal,3;4;5;6,4,HipoNeptunioso,Neptunioso,Neptúnico,PerNeptúnico,,de Neptunio
94,Pu,Plutonio,Metal,3;4;5;6,4,HipoPlutonioso,Plutonioso,Plutónico,PerPlutónico,,de Plutonio
95,Am,Americio,Metal,3;4;5;6,4,HipoAmericioso,Americioso,Amerícico,PerAmerícico,,de Americio
96,Cm,Curio,Metal,3,1,de Curio,,,,,de Curio
97,Bk,Berkelio,Metal,3;4,2,Berkelioso,Berkélico,,,,de Berkelio
98,Cf,Californio,Metal,3,1,de Californio,,,,,de Californio
99,Es,Einstenio,Metal,4,1,de Einstenio,,,,,de Einstenio
100,Fm,Fermio,Metal,4,1,de Fermio,,,,,de Fermio
101,Md,Mendelevio,Metal,3;4,2,Mendelevioso,Mendelévico,,,,de Mendelevio
102,No,Nobelio,Metal,3;4,2,Nobelioso,Nobélico,,,,de Nobelio
103,Lr,Laurencio,Metal,3;4,2,Laurencioso,Lauréncico,,,,de Laurencio
104,Rf,Rutherfordio,Metal,4,1,de Rutherfordio,,,,,de Rutherfordio
105,Db,Dubnium,Metal,4,1,de Dubnium,,,,,de Dubnium
106,Sg,Seaborgio,Metal,4,1,de Seaborgio,,,,,de Seaborgio
107,Bh,Bohrio,Metal,3;4;5,3,HipoBohrioso,Bohrioso,Bóhrico,,,de Bohrio
108,Hs,Hassio,Metal,2;4;6;7,4,HipoHassioso,Hassioso,Hássico,PerHássico,,de Hassio
109,Mt,Meitnerio,Metal,2;3;4;6,4,HipoMeitnerioso,Meitnerioso,Meitnérico,PerMeitnérico,,de Meitnerio
110,Ds,Darmstatio,Metal,2;4,2,Darmstatioso,Darmstático,,,,de Darmstatio
111,Rg,Roentgenio,Metal,2;3,2,Roentgenioso,Roentegénico,,,,de Roentgenio
112,Cn,Copérnico,Metal,1;2,2,Copernicoso,Copérnico,,,,de Copérnico
113,Nh,Nihonium,Metal,3,1,de Nihonium,,,,,de Nihonium
114,Fl,Flerovio,Metal,2;4;6,3,HipoFlerovioso,Flerovioso,Fleróvico,,,de Flerovio
115,Mc,Moscovio,Metal,1;4;5,3,HipoMoscovioso,Moscovioso,Moscóvico,,,de Moscovio
116,Lv,Livermorio,Metal,3;4;5,3,HipoLivermorioso,Livermorioso,Livermórico,,,de Livermorio
117,Ts,Tenesino,Metal,1;2;3,3,HipoTenesinoso,Tenesinoso,Tenésico,,,de Tenesino
118,Og,Oganeson,Metal,4;7,2,Oganesonoso,Oganésico,,,,de Oganeson
